== Individual Errors

|==== PREDICTIONS (N=224.0) =====>
|    1 [ 0 0 1 0 ] [ 0.000 0.045 1.000 0.010 ]
|    2 [ 1 0 0 0 ] [ 0.909 0.045 0.049 0.010 ]
|    3 [ 0 0 1 0 ] [ 0.000 0.045 1.000 0.010 ]
|    4 [ 0 0 1 0 ] [ 0.000 0.045 1.000 0.010 ]
|    5 [ 1 0 0 0 ] [ 1.000 0.045 0.049 0.010 ]
|    6 [ 1 0 0 0 ] [ 1.000 0.045 0.049 0.010 ]
|    7 [ 0 0 1 0 ] [ 0.000 0.045 0.049 0.010 ]
|    8 [ 1 0 0 0 ] [ 1.000 0.045 0.200 0.010 ]
|    9 [ 1 0 0 0 ] [ 1.000 0.045 0.049 0.010 ]
|   10 [ 1 0 0 0 ] [ 0.000 0.045 0.049 0.010 ]
|   11 [ 1 0 0 0 ] [ 0.000 0.045 0.049 0.010 ]
|   12 [ 1 0 0 0 ] [ 0.000 0.045 0.049 0.010 ]
|   13 [ 1 0 0 0 ] [ 0.929 0.045 0.000 0.010 ]
|   14 [ 1 0 0 0 ] [ 0.000 0.045 0.049 0.010 ]
|   15 [ 0 0 1 0 ] [ 0.909 0.045 0.049 0.010 ]
|   16 [ 1 0 0 0 ] [ 0.000 0.045 0.049 0.010 ]
|   17 [ 1 0 0 0 ] [ 0.000 0.045 0.049 0.010 ]
|   18 [ 0 1 0 0 ] [ 0.000 0.955 0.909 0.010 ]
|   19 [ 0 1 0 0 ] [ 1.000 0.955 0.049 0.010 ]
|   20 [ 0 1 0 0 ] [ 1.000 0.955 0.200 0.010 ]
|   21 [ 0 1 0 0 ] [ 1.000 0.955 0.049 0.010 ]
|   22 [ 0 1 0 0 ] [ 1.000 0.955 0.049 0.010 ]
|   23 [ 1 0 0 0 ] [ 1.000 0.045 0.000 0.010 ]
|   24 [ 0 1 0 0 ] [ 0.000 0.955 0.103 0.010 ]
|   25 [ 1 0 0 0 ] [ 1.000 0.007 0.103 0.010 ]
|   26 [ 0 1 0 0 ] [ 1.000 0.955 0.103 0.010 ]
|   27 [ 1 0 0 0 ] [ 1.000 0.007 0.103 0.010 ]
|   28 [ 1 0 0 0 ] [ 0.000 0.007 0.103 0.010 ]
|   29 [ 0 1 0 0 ] [ 0.000 0.955 0.103 0.010 ]
|   30 [ 1 0 0 0 ] [ 1.000 0.007 0.103 0.010 ]
|   31 [ 1 0 0 0 ] [ 0.000 0.007 0.103 0.010 ]
|   32 [ 0 0 1 0 ] [ 0.000 0.007 0.103 0.010 ]
|   33 [ 1 0 0 0 ] [ 1.000 0.007 0.103 0.010 ]
|   34 [ 1 0 0 0 ] [ 1.000 0.007 0.103 0.010 ]
|   35 [ 1 0 1 0 ] [ 1.000 0.007 1.000 0.010 ]
|   36 [ 1 0 0 0 ] [ 1.000 0.007 0.103 0.010 ]
|   37 [ 0 1 0 0 ] [ 1.000 0.955 0.103 0.010 ]
|   38 [ 0 0 1 0 ] [ 0.000 0.007 1.000 0.010 ]
|   39 [ 1 0 0 0 ] [ 1.000 0.007 0.103 0.010 ]
|   40 [ 1 0 0 0 ] [ 1.000 0.007 0.103 0.010 ]
|   41 [ 1 0 0 0 ] [ 0.909 0.007 0.103 0.010 ]
|   42 [ 0 1 0 0 ] [ 1.000 0.955 0.103 0.010 ]
|   43 [ 1 0 0 0 ] [ 1.000 0.007 0.103 0.010 ]
|   44 [ 1 0 0 0 ] [ 1.000 0.007 0.103 0.010 ]
|   45 [ 0 1 0 0 ] [ 1.000 0.007 0.103 0.010 ]
|   46 [ 1 0 0 0 ] [ 0.000 0.007 0.103 0.010 ]
|   47 [ 1 0 0 0 ] [ 1.000 0.028 0.025 0.010 ]
|   48 [ 1 1 0 0 ] [ 0.000 0.950 0.929 0.010 ]
|   49 [ 1 0 0 0 ] [ 0.000 0.028 0.025 0.010 ]
|   50 [ 0 0 1 0 ] [ 0.000 0.028 0.000 0.010 ]
|   51 [ 0 0 1 0 ] [ 0.000 0.028 1.000 0.010 ]
|   52 [ 0 0 1 0 ] [ 0.000 0.028 0.000 0.010 ]
|   53 [ 1 1 0 0 ] [ 0.900 0.950 0.000 0.010 ]
|   54 [ 0 1 0 0 ] [ 0.000 0.950 1.000 0.010 ]
|   55 [ 0 0 1 0 ] [ 0.941 0.028 1.000 0.010 ]
|   56 [ 0 1 1 0 ] [ 0.000 0.028 1.000 0.010 ]
|   57 [ 0 1 1 0 ] [ 0.111 0.950 0.025 0.010 ]
|   58 [ 0 0 1 0 ] [ 0.875 0.028 0.025 0.010 ]
|   59 [ 1 1 0 0 ] [ 1.000 0.950 0.025 0.010 ]
|   60 [ 0 0 1 0 ] [ 1.000 0.028 0.950 0.010 ]
|   61 [ 1 1 0 0 ] [ 1.000 0.950 0.929 0.010 ]
|   62 [ 0 1 0 0 ] [ 0.000 0.028 0.025 0.010 ]
|   63 [ 1 0 0 0 ] [ 0.167 0.028 0.000 0.010 ]
|   64 [ 0 1 0 0 ] [ 0.000 0.950 0.000 0.010 ]
|   65 [ 0 0 1 0 ] [ 0.941 0.028 0.950 0.010 ]
|   66 [ 0 0 1 0 ] [ 0.000 0.028 0.000 0.010 ]
|   67 [ 0 1 1 0 ] [ 1.000 0.028 0.025 0.010 ]
|   68 [ 1 0 0 0 ] [ 0.900 0.028 1.000 0.010 ]
|   69 [ 1 0 0 0 ] [ 1.000 0.028 0.025 0.010 ]
|   70 [ 1 0 0 0 ] [ 0.000 0.045 0.036 0.010 ]
|   71 [ 0 0 1 0 ] [ 0.000 0.045 1.000 0.010 ]
|   72 [ 0 1 0 0 ] [ 0.000 0.955 0.077 0.010 ]
|   73 [ 1 1 0 0 ] [ 0.917 0.955 0.036 0.010 ]
|   74 [ 1 1 0 0 ] [ 0.000 0.955 0.036 0.010 ]
|   75 [ 0 0 1 0 ] [ 0.000 0.045 1.000 0.010 ]
|   76 [ 0 0 1 0 ] [ 0.111 0.045 1.000 0.010 ]
|   77 [ 0 0 1 0 ] [ 0.917 0.045 0.875 0.010 ]
|   78 [ 0 0 1 0 ] [ 0.000 0.045 1.000 0.010 ]
|   79 [ 1 1 0 0 ] [ 0.917 0.955 0.889 0.010 ]
|   80 [ 0 0 1 0 ] [ 0.111 0.045 0.000 0.010 ]
|   81 [ 0 0 1 0 ] [ 0.000 0.045 1.000 0.010 ]
|   82 [ 0 0 1 0 ] [ 1.000 0.045 1.000 0.010 ]
|   83 [ 1 0 1 0 ] [ 0.000 0.045 0.875 0.010 ]
|   84 [ 0 0 1 0 ] [ 0.800 0.045 0.875 0.010 ]
|   85 [ 1 0 0 0 ] [ 0.917 0.045 0.857 0.010 ]
|   86 [ 0 0 1 0 ] [ 1.000 0.045 1.000 0.010 ]
|   87 [ 1 0 1 0 ] [ 0.000 0.045 0.036 0.010 ]
