== Individual Errors

|==== PREDICTIONS (N=224.0) =====>
|    1 [ 1 1 0 0 0 0 0 0 0 ] [ 0.833 1.000 0.000 0.045 0.000 0.109 0.000 0.010 0.000 ]
|    2 [ 0 0 0 0 1 0 0 0 0 ] [ 0.110 0.091 0.000 0.045 1.000 1.000 0.000 0.010 0.000 ]
|    3 [ 1 0 0 0 0 0 0 0 0 ] [ 0.000 0.006 0.000 0.045 0.067 0.109 0.000 0.010 0.000 ]
|    4 [ 1 0 0 0 0 0 0 0 0 ] [ 1.000 0.667 0.000 0.045 0.667 0.109 0.000 0.010 0.000 ]
|    5 [ 0 0 0 0 1 0 0 0 0 ] [ 0.110 0.006 0.000 0.045 0.967 0.109 0.000 0.010 0.000 ]
|    6 [ 0 0 0 0 1 1 0 0 0 ] [ 0.110 0.006 0.000 0.045 0.967 1.000 0.000 0.010 0.000 ]
|    7 [ 1 0 0 0 0 0 0 0 0 ] [ 0.889 0.006 0.000 0.045 0.067 0.109 0.000 0.010 0.000 ]
|    8 [ 0 0 0 0 1 1 0 0 0 ] [ 0.110 0.006 0.000 0.045 0.600 0.109 0.000 0.010 0.000 ]
|    9 [ 0 0 0 0 1 0 0 0 0 ] [ 0.110 0.006 0.000 0.045 0.967 1.000 0.000 0.010 0.000 ]
|   10 [ 0 0 0 0 1 1 0 0 0 ] [ 0.110 0.006 0.000 0.045 0.857 0.109 0.000 0.010 0.000 ]
|   11 [ 0 0 0 0 1 0 0 0 0 ] [ 0.110 0.091 0.000 0.045 0.000 0.109 0.000 0.010 0.000 ]
|   12 [ 0 0 0 0 1 0 0 0 0 ] [ 0.110 0.006 0.000 0.045 0.067 0.109 0.000 0.010 0.000 ]
|   13 [ 0 0 0 0 1 0 0 0 0 ] [ 0.110 1.000 0.000 0.045 0.000 1.000 0.000 0.010 0.000 ]
|   14 [ 0 0 0 0 1 1 0 0 0 ] [ 0.110 0.006 0.000 0.045 0.067 0.109 0.000 0.010 0.000 ]
|   15 [ 1 0 0 0 0 0 0 0 0 ] [ 0.110 0.006 0.000 0.045 0.067 1.000 0.000 0.010 0.000 ]
|   16 [ 0 0 0 0 1 0 0 0 0 ] [ 0.110 0.006 0.000 0.045 0.857 0.109 0.000 0.010 0.000 ]
|   17 [ 0 0 0 0 1 0 0 0 0 ] [ 0.110 0.006 0.000 0.045 0.067 0.109 0.000 0.010 0.000 ]
|   18 [ 0 0 0 1 0 0 0 0 0 ] [ 0.110 0.083 0.000 0.955 0.000 0.109 0.000 0.010 0.000 ]
|   19 [ 0 0 0 1 0 0 0 0 0 ] [ 0.110 0.006 0.000 0.955 1.000 1.000 0.000 0.010 0.000 ]
|   20 [ 0 0 0 1 0 0 0 0 0 ] [ 0.110 0.006 0.000 0.955 1.000 0.109 0.000 0.010 0.000 ]
|   21 [ 0 0 0 1 0 0 0 0 0 ] [ 0.110 0.006 0.000 0.955 0.067 0.109 0.000 0.010 0.000 ]
|   22 [ 0 0 0 1 0 0 0 0 0 ] [ 0.110 0.006 0.000 0.955 1.000 0.109 0.000 0.010 0.000 ]
|   23 [ 0 0 0 0 1 0 0 0 0 ] [ 0.110 0.006 0.000 0.045 0.967 0.109 0.000 0.010 0.000 ]
|   24 [ 0 0 0 1 0 0 0 0 0 ] [ 0.833 0.007 0.000 0.955 0.000 0.833 0.000 0.010 0.000 ]
|   25 [ 0 0 0 0 1 1 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.889 0.000 0.000 0.010 0.000 ]
|   26 [ 0 0 0 1 0 0 0 0 0 ] [ 0.125 0.007 0.000 0.955 0.000 0.125 0.000 0.010 0.000 ]
|   27 [ 0 0 0 0 1 1 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.857 0.000 0.000 0.010 0.000 ]
|   28 [ 0 0 0 0 1 0 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.068 0.000 0.000 0.010 0.000 ]
|   29 [ 0 0 0 1 0 0 0 0 0 ] [ 0.125 0.007 0.000 0.955 0.000 0.125 0.000 0.010 0.000 ]
|   30 [ 0 0 0 0 1 0 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.857 0.000 0.000 0.010 0.000 ]
|   31 [ 0 0 0 0 1 0 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.857 0.000 0.000 0.010 0.000 ]
|   32 [ 1 0 0 0 0 0 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.857 0.000 0.000 0.010 0.000 ]
|   33 [ 0 0 0 0 1 0 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.068 0.000 0.000 0.010 0.000 ]
|   34 [ 0 0 0 0 1 1 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.966 0.000 0.000 0.010 0.000 ]
|   35 [ 1 0 0 0 0 1 0 0 0 ] [ 1.000 0.007 0.000 0.007 0.857 0.000 0.000 0.010 0.000 ]
|   36 [ 0 0 0 0 1 0 0 0 0 ] [ 0.125 0.007 0.000 0.007 0.966 0.000 0.000 0.010 0.000 ]
|   37 [ 0 0 0 1 0 0 0 0 0 ] [ 0.125 0.007 0.000 0.955 0.000 1.000 0.000 0.010 0.000 ]
